français;mahorais
piment oiseau;putu mgowa
combawa;kumvava
sel;shingo
jacque;fenessi
mangue;manga
orange;trundra
papaye;papaya
banane;sindza
du pain;dipe
gâteau;mhare
viande;gnama
viande;shirewu
épicerie;duka
grand;bolé
petit;titi
gros;tronga
gros;boina
maigre;mtsala
long;nudra
long;ndrile
petit;kutri
noir;ndzidu
bleu;bilé
jaune;dzindzano
rouge;ndzukundru
blanc;ndjeu
vert;mrututu
vert;davou
pluie;vua
averses;maroussi
éclair;penu
tonnerre;gougouma
nuage;mbingu
nuages;mayingu
vent;pevo
froid;baridi
chaud;moro
feu;moro
Arc-en-ciel;mukakamba
Grand-père;bakoko
Grand-père;dadayi
Grand-mère;koko
enfant;mwana mtsa
maigrichon;mahondra
zuki;aîné
zuki;Grand frère
zku;grande sœur
maman;mama
papa;baba
;mama titi
;mama bole
oncle;zama
frère;
sœur;
famille;udjama
;gnadza
monsieur;mwenye
monsieur;bwana
madame;bweni
madame;bibi
se réveiller;uhima
se lever;uhima
se réveiller;umaruha
se doucher;uhowa
s’habiller;upidra
petit dejeuner;maji ya moro
thé;dithé
être;uka
payer;uliva
appeler;uhira
telephone;tiliphoni
balayer;uhundza
trouver;oupara
descendre;ushuka
monter;uheya
sortir;ulawa
entrer;ungia
eteindre;uzima
allumer;upatsa
laver;uhossa
se maquiller;udzi stawidza
attendre;ulindra
envoyer;uveleha
rigoler;utseha
pleurer;ulila
être mouillé;ulowa
s’abriter;ubamia
en dessous;utsini
au dessus;uju
devant;mbeli
derrière;mengoni
propre;murahafu
sale;mutshafi
derrière;gnuma
derrière;ugnuma
demander;udzisa
oui;ewa
au revoir;kwaheri
saluer;urongodza
prendre congé;ulaga
nord;kibulani
ouest;maharibi
est;mashriki
sud;swihilini
laisser;ulisha
calculer;uhasibu
compter;uhasibu
tenir;usika
cheveux;ngnolé
tête;chitsoi
cil;kové ya matso
œil;dzitso
yeux;matso
oreille;kiyo
oreilles;makiyo
joue;savu
joues;masavu
menton;shilévu
cou;tsingo
épaule;béga
poitrine;shifuba
visage;uso
sourcil;ntsi
paupière;uju nayi kové
nez;puwa
langue;ulimi
mangue;mlimo
dent;dzigno
dents;magno
gorge;gandzi
lèvre inférieure;domo la tsini
lèvre supériere;domo la uju
lèvre;domo
lèvres;malomo
narine;pembe
arriver;uwasili
venir;uja
aller;uendra
faire;ufanya
avoir;ukana
vouloir;utsaha
nouvelle;habari
bien;ndjema
jeje;bonjour
toc toc toc;hodi
jouer;uangadza
prêter;uazima
changer;ubadili
fermer;ubala
s'évanouir;ubama
occuper, garder;ubarizi
battre (instrument);ubiha
ouvrir;ubua
frapper;ububua
se taire;uburiha
se retourner;ubuza
oublier;udala
répondre;udjibu
vieillir;uduha
suivre;udunga
accoucher;udzaa
enterrer;udziha
